+ iperf3 -c c10-35.sysnet.ucsd.edu -w 2KB -t 100
Connecting to host c10-35.sysnet.ucsd.edu, port 5201
[  4] local 172.17.0.3 port 52090 connected to 169.228.66.58 port 5201
[  4]  24.00-25.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  25.00-26.00  sec   111 MBytes   934 Mbits/sec    0   82.0 KBytes       
[  4]  26.00-27.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  27.00-28.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  28.00-29.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  29.00-30.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  30.00-31.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  31.00-32.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  32.00-33.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  33.00-34.00  sec   112 MBytes   942 Mbits/sec    0   82.0 KBytes       
[  4]  34.00-35.00  sec   112 MBytes   940 Mbits/sec    0   82.0 KBytes       
[  4]  35.00-36.00  sec   112 MBytes   942 Mbits/sec    0   82.0 KBytes       
[  4]  36.00-37.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  37.00-38.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  38.00-39.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  39.00-40.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  40.00-41.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  41.00-42.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  42.00-43.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  43.00-44.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  44.00-45.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  45.00-46.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  46.00-47.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  47.00-48.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  48.00-49.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  49.00-50.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  50.00-51.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  51.00-52.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  52.00-53.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  53.00-54.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  54.00-55.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  55.00-56.00  sec   112 MBytes   942 Mbits/sec    0   82.0 KBytes       
[  4]  56.00-57.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  57.00-58.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  58.00-59.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  59.00-60.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  60.00-61.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  61.00-62.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  62.00-63.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  63.00-64.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  64.00-65.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  65.00-66.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  66.00-67.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  67.00-68.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  68.00-69.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  69.00-70.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  70.00-71.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  71.00-72.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  72.00-73.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  73.00-74.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  74.00-75.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  75.00-76.00  sec   112 MBytes   942 Mbits/sec    0   82.0 KBytes       
[  4]  76.00-77.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  77.00-78.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  78.00-79.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  79.00-80.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  80.00-81.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  81.00-82.00  sec   111 MBytes   934 Mbits/sec    0   82.0 KBytes       
[  4]  82.00-83.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  83.00-84.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  84.00-85.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  85.00-86.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  86.00-87.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  87.00-88.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  88.00-89.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  89.00-90.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  90.00-91.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  91.00-92.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  92.00-93.00  sec   112 MBytes   942 Mbits/sec    0   82.0 KBytes       
[  4]  93.00-94.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  94.00-95.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  95.00-96.00  sec   112 MBytes   940 Mbits/sec    0   82.0 KBytes       
[  4]  96.00-97.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  97.00-98.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  98.00-99.00  sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
[  4]  99.00-100.00 sec   112 MBytes   941 Mbits/sec    0   82.0 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec    0             sender
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec                  receiver

iperf Done.
+ iperf3 -c c10-35.sysnet.ucsd.edu -w 48KB -t 100
Connecting to host c10-35.sysnet.ucsd.edu, port 5201
[  4] local 172.17.0.3 port 52140 connected to 169.228.66.58 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]   1.00-2.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   2.00-3.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   3.00-4.00   sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]   4.00-5.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   5.00-6.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   6.00-7.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   7.00-8.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   8.00-9.00   sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]   9.00-10.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  10.00-11.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  11.00-12.00  sec   112 MBytes   940 Mbits/sec    0   48.1 KBytes       
[  4]  12.00-13.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  13.00-14.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  14.00-15.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  15.00-16.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  16.00-17.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  17.00-18.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  18.00-19.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  19.00-20.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  20.00-21.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  21.00-22.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  22.00-23.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  23.00-24.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  24.00-25.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  25.00-26.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  26.00-27.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  27.00-28.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  28.00-29.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  29.00-30.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  30.00-31.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  31.00-32.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  32.00-33.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  33.00-34.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  34.00-35.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  35.00-36.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  36.00-37.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  37.00-38.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  38.00-39.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  39.00-40.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  40.00-41.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  41.00-42.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  42.00-43.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  43.00-44.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  44.00-45.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  45.00-46.00  sec   112 MBytes   939 Mbits/sec    0   48.1 KBytes       
[  4]  46.00-47.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  47.00-48.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  48.00-49.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  49.00-50.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  50.00-51.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  51.00-52.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  52.00-53.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  53.00-54.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  54.00-55.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  55.00-56.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  56.00-57.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  57.00-58.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  58.00-59.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  59.00-60.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  60.00-61.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  61.00-62.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  62.00-63.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  63.00-64.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  64.00-65.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  65.00-66.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  66.00-67.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  67.00-68.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  68.00-69.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  69.00-70.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  70.00-71.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  71.00-72.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  72.00-73.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  73.00-74.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  74.00-75.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  75.00-76.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  76.00-77.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  77.00-78.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  78.00-79.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  79.00-80.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  80.00-81.00  sec   112 MBytes   940 Mbits/sec    0   48.1 KBytes       
[  4]  81.00-82.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  82.00-83.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  83.00-84.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  84.00-85.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  85.00-86.00  sec   112 MBytes   940 Mbits/sec    0   48.1 KBytes       
[  4]  86.00-87.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  87.00-88.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  88.00-89.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  89.00-90.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  90.00-91.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  91.00-92.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  92.00-93.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  93.00-94.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  94.00-95.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  95.00-96.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  96.00-97.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  97.00-98.00  sec   112 MBytes   942 Mbits/sec    0   48.1 KBytes       
[  4]  98.00-99.00  sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
[  4]  99.00-100.00 sec   112 MBytes   941 Mbits/sec    0   48.1 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec    0             sender
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec                  receiver

iperf Done.
+ iperf3 -c c10-35.sysnet.ucsd.edu -w 52KB -t 100
Connecting to host c10-35.sysnet.ucsd.edu, port 5201
[  4] local 172.17.0.3 port 52144 connected to 169.228.66.58 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]   1.00-2.00   sec   112 MBytes   936 Mbits/sec    0   52.3 KBytes       
[  4]   2.00-3.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   3.00-4.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   4.00-5.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   5.00-6.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   6.00-7.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   7.00-8.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   8.00-9.00   sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]   9.00-10.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  10.00-11.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  11.00-12.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  12.00-13.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  13.00-14.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  14.00-15.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  15.00-16.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  16.00-17.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  17.00-18.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  18.00-19.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  19.00-20.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  20.00-21.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  21.00-22.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  22.00-23.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  23.00-24.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  24.00-25.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  25.00-26.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  26.00-27.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  27.00-28.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  28.00-29.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  29.00-30.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  30.00-31.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  31.00-32.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  32.00-33.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  33.00-34.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  34.00-35.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  35.00-36.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  36.00-37.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  37.00-38.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  38.00-39.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  39.00-40.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  40.00-41.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  41.00-42.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  42.00-43.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  43.00-44.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  44.00-45.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  45.00-46.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  46.00-47.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  47.00-48.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  48.00-49.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  49.00-50.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  50.00-51.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  51.00-52.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  52.00-53.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  53.00-54.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  54.00-55.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  55.00-56.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  56.00-57.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  57.00-58.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  58.00-59.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  59.00-60.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  60.00-61.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  61.00-62.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  62.00-63.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  63.00-64.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  64.00-65.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  65.00-66.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  66.00-67.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  67.00-68.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  68.00-69.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  69.00-70.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  70.00-71.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  71.00-72.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  72.00-73.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  73.00-74.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  74.00-75.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  75.00-76.00  sec   112 MBytes   940 Mbits/sec    0   52.3 KBytes       
[  4]  76.00-77.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  77.00-78.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  78.00-79.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  79.00-80.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  80.00-81.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  81.00-82.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  82.00-83.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  83.00-84.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  84.00-85.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  85.00-86.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  86.00-87.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  87.00-88.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  88.00-89.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  89.00-90.00  sec   112 MBytes   942 Mbits/sec    0   52.3 KBytes       
[  4]  90.00-91.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  91.00-92.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  92.00-93.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  93.00-94.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  94.00-95.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  95.00-96.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  96.00-97.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  97.00-98.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  98.00-99.00  sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
[  4]  99.00-100.00 sec   112 MBytes   941 Mbits/sec    0   52.3 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec    0             sender
[  4]   0.00-100.00 sec  11.0 GBytes   941 Mbits/sec                  receiver

iperf Done.
+ iperf3 -c c10-35.sysnet.ucsd.edu -w 56KB -t 100
Connecting to host c10-35.sysnet.ucsd.edu, port 5201
[  4] local 172.17.0.3 port 52150 connected to 169.228.66.58 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec   112 MBytes   942 Mbits/sec    0   56.6 KBytes       
[  4]   1.00-2.00   sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]   2.00-3.00   sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]   3.00-4.00   sec   112 MBytes   942 Mbits/sec    0   56.6 KBytes       
[  4]   4.00-5.00   sec   112 MBytes   940 Mbits/sec    0   56.6 KBytes       
[  4]   5.00-6.00   sec   112 MBytes   938 Mbits/sec    0   56.6 KBytes       
[  4]   6.00-7.00   sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]   7.00-8.00   sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]   8.00-9.00   sec   112 MBytes   942 Mbits/sec    0   56.6 KBytes       
[  4]   9.00-10.00  sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]  10.00-11.00  sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]  11.00-12.00  sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]  12.00-13.00  sec   112 MBytes   941 Mbits/sec    0   56.6 KBytes       
[  4]  13.00-14.00  sec   112 MBytes   942 Mbits/sec    0   56.6 KBytes       
